title	date	dept	dept_top
국가지식정보 통합 온라인 체제 기반 운영 현황 및 향후 추진방향	2024.12.30	과학기술정보통신부 정보통신정책관실 디지털사회기획과	과학기술정보통신부
철도지하화 통합개발 사업 시행방안	2024.12.30	국토교통부 철도국 철도지하화통합개발기획단	국토교통부
2025년 보건복지부 R&D 사업 통합 시행계획	2024.12.27	보건복지부 보건산업정책국 보건의료기술개발과	보건복지부
유통산업 AI 활용전략	2024.12.27	산업통상자원부 산업기반실 중견기업정책관 온라인유통TF팀	산업통상자원부
제4차 광업 기본계획(안) (2025~2034)	2024.12.27	산업통상자원부 자원산업정책국 광물자원팀	산업통상자원부
2024년 정책금융공급실적 및 2025년 정책금융공급계획, 혁신프리미어 1000 도입방안	2024.12.26	금융위원회 금융정책국 산업금융과	금융위원회
2025년 소상공인·중소기업 정책금융 공급 계획	2024.12.26	중소벤처기업부 중소기업정책실 글로벌성장정책관 기업금융과	중소벤처기업부
2025년 통화신용정책 운영방향	2024.12.26	한국은행 통화정책국 정책총괄팀	한국은행
제3차 동물 찻길 사고(로드킬) 저감대책(2025~2027)	2024.12.26	환경부 자연보전국 자연생태정책과	환경부
조손가족 아동의 안정적 양육·성장 지원방안	2024.12.24	교육부 사회정책협력관 사회정책총괄담당관	교육부
2025년 재정사업 성과관리 추진계획	2024.12.24	기획재정부 재정관리국 재정관리총괄과	기획재정부
공사비 현실화 등 건설투자 보완을 통한 건설산업 활력 제고 방안	2024.12.23	국토교통부 건설정책국 건설정책과	국토교통부
은행권 소상공인 금융지원 방안	2024.12.23	금융위원회 금융정책국 금융정책과	금융위원회
경제관계장관회의 겸 산업경쟁력강화 관계장관회의: 석유화학산업 경쟁력 제고 방안 등	2024.12.23	기획재정부 정책조정국 정책조정총괄과	기획재정부
2025년도 산업기술혁신사업 통합 시행계획	2024.12.22	산업통상자원부 산업기반실 산업기술융합정책관 산업기술정책과	산업통상자원부
2025년도 소비자정책 종합시행계획(안)	2024.12.20	공정거래위원회 소비자정책국 소비자정책총괄과	공정거래위원회
제2차 정보교육 종합계획(안) (2025년 ~ 2029년)	2024.12.20	교육부 책임교육정책실 책임교육정책관 학교교수학습혁신과	교육부
제3차 융합교육(STEAM) 종합계획(안) (2025년 ~ 2029년 )	2024.12.20	교육부 책임교육정책실 책임교육정책관 학교교수학습혁신과	교육부
제4차 수학교육 종합계획(안) (2025년 ~ 2029년)	2024.12.20	교육부 책임교육정책실 책임교육정책관 학교교수학습혁신과	교육부
